Name,Quantity,Cost,Link
Orange LEDs,9,$0.80,https://robocraze.com/products/5-mm-orange-led-pack-of-10
Case,1,$1.80,Printing Legion transport charges
120ohm Resistors,9,$1.75,https://quartzcomponents.com/products/120-ohm-1-4-watt-resistor-with-1-tolerance-pack-of-10
PCB - (Black Color),1,$10.60,https://jlcpcb.com/
Seeed Studio XIAO ESP32C3,1,$17.90,https://curiositycaps.in/products/iceberg-japanese-xda-pbt-keycaps-1
Lithium Battery Charger,1,$2.27,https://www.amazon.in/dp/B0F18S3CGR?ref_=cm_sw_r_cp_ud_dp_JKK827X9SKF525CVXK9R_1
Lithium Battery,1,$5.50,https://www.amazon.in/dp/B0FT42CFXZ?ref_=cm_sw_r_cp_ud_dp_2SRJB72VFS6NZW93P7WV
